fetch date,short codes,number of likes,number of video views,number of comments
03/11/21,CF-JsOZFTb_,1666,,40
03/11/21,CF7rxAAHmB9,2820,,52
03/11/21,CF-8b1iB4nF,1156,,134
03/11/21,CF3Ly2mBTMh,2733,,77
03/11/21,CFz9YNDHAL7,1018,,41
03/11/21,CFvZwOAhZz2,3890,,81
03/11/21,CFxnuoWBEmx,2085,,38
03/11/21,CFxX93DhD0p,1757,,42
03/11/21,CFumDtipnsk,3127,,139
03/11/21,CFx4o2fhP-p,1625,,101
03/11/21,CF0hBtngh3A,2100,,37
03/11/21,CFshTUjBFjU,972,,19
03/11/21,CFs3oSMjcWa,2498,,62
03/11/21,CF0Wi9gBq60,3409,,100
03/11/21,CFuzyfalyPX,1339,,39
03/11/21,CFzpIKHptQS,7229,,188
03/11/21,CFm3q9MjBFR,2629,,88
03/11/21,CFiUI08Bcbj,3209,,63
03/11/21,CFkWiUCh0sJ,2266,,72
03/11/21,CFpQNODh6K_,2032,,39
03/11/21,CFgPy-YBCVR,9404,,632
03/11/21,CFsIP0JhCFB,1871,,30
03/11/21,CFpiNmjBqFh,4500,,153
03/11/21,CFp926RhtI5,2707,,68
03/11/21,CFoCojXoYtR,5763,,68
03/11/21,CFncfcyhJCY,1830,,29
03/11/21,CFr6t66hFrm,2650,,32
03/11/21,CFhxg61jsqI,2588,,83
03/11/21,CFTX6-OBnYE,3605,,44
03/11/21,CFc_9Qep9Jx,2434,,88
03/11/21,CFc3iMAnc4h,1943,,45
03/11/21,CFVTqbsh8YI,1648,,119
03/11/21,CFS9gHAh9E4,2837,,36
03/11/21,CFaNbhGgFVy,1612,,77
03/11/21,CFVD1txFrfH,1855,,58
03/11/21,CFcrXH9nWfF,2633,30461.0,55
03/11/21,CFXhxMipguk,1306,,79
03/11/21,CFUvVm-hZJG,2368,,31
03/11/21,CFckgE2lmQG,2195,23691.0,75
03/11/21,CFU3Ru6hKh3,6232,,80
03/11/21,CFSDldkn-O6,2160,,82
03/11/21,CFK5egon4Qz,1106,,54
03/11/21,CFHrv8YhpIZ,904,,34
03/11/21,CFP60y2BAXW,2619,,112
03/11/21,CFSYLbYhcdZ,844,,16
03/11/21,CFITdThBnGi,1493,,52
03/11/21,CFH3ieGhEo9,1199,,31
03/11/21,CFM7NaGBGyf,3874,,52
03/11/21,CFStpSXhNaY,1514,,27
03/11/21,CFPpuIkhVHa,1090,,23
03/11/21,CFN-IZ7B2PM,7665,,127
03/11/21,CFNITbRDOED,1244,,31
03/11/21,CFAkWQMDQKY,1699,,82
03/11/21,CFDJJBVnsXz,1722,,31
03/11/21,CE75lnahCyC,6664,,124
03/11/21,CFGJZvpD6NV,2843,,93
03/11/21,CE-GoW1BOde,3890,,85
03/11/21,CFFSj-9hYsP,1085,,37
03/11/21,CFF1sCvBcfR,2116,,57
03/11/21,CFFnEmipi2C,841,,31
03/11/21,CE9x_yZhWAJ,2077,,35
03/11/21,CFCtr0wHHjf,1074,,31
03/11/21,CE9__8vhbg8,2090,,32
03/11/21,CFDrfL6lh9-,638,7874.0,51
03/11/21,CE0QYTMBpIX,2381,,88
03/11/21,CE7jARVHict,1275,,39
03/11/21,CExcLT0ntZf,3811,,83
03/11/21,CE4vHWwjE1_,1168,10150.0,45
03/11/21,CEvAlbdh_iQ,1679,,88
03/11/21,CE49zQAB5cG,1536,,42
03/11/21,CE26f59huyP,5546,,69
03/11/21,CE5K3fThqLH,2040,,82
03/11/21,CE64fpkhmAD,2213,,36
03/11/21,CE4afslHgao,1579,,32
03/11/21,CE2r63AhE2U,2621,,24
03/11/21,CExOm0ihLTP,2440,,53
03/11/21,CEutk_HBjiC,1775,,62
03/11/21,CEnOgdIBLPV,12714,,509
03/11/21,CEuiIydh6nt,1979,,47
03/11/21,CEm7Q-1n2x2,3606,,55
03/11/21,CEh_aFjB59O,2688,,75
03/11/21,CEma5G2BcAr,4001,,183
03/11/21,CEsWBQ3hbL2,1480,,67
03/11/21,CEkiWw2BLu6,2432,,83
03/11/21,CEhqztBlWHB,1559,,23
03/11/21,CEuPAQqAsvY,6938,,394
03/11/21,CEkKByehJtT,2170,,52
03/11/21,CEsLcVKnJwN,1186,,24
03/11/21,CEQBR3vBni9,1801,,179
03/11/21,CEPvGuYB7pF,1950,,73
03/11/21,CEXo_2ah4Pw,2452,,123
03/11/21,CEfTv2YnK28,4712,,101
03/11/21,CEdA0pbB-DL,2021,,80
03/11/21,CESNFNchaHq,4790,,195
03/11/21,CEfAKfOh7Na,2599,,99
03/11/21,CEUevU9pFyA,1841,,143
03/11/21,CEXCfDUhK7a,1843,,86
03/11/21,CEb-4n5n73H,911,10315.0,41
03/11/21,CEXKGYshamc,1505,,50
03/11/21,CEhWv2KhMaW,1420,10152.0,32
03/11/21,CEKEMAyHkB2,1092,15189.0,48
03/11/21,CEHfZecnrSr,1268,12254.0,32
03/11/21,CEFkwwAh7Ap,3690,,60
03/11/21,CEIxyz3ozsA,1133,,47
03/11/21,CEF099RFx4D,6569,,240
03/11/21,CEKYyi2HZIo,3836,,133
03/11/21,CENZC-IliqT,2094,,299
03/11/21,CEK78hGB_mN,2908,,294
03/11/21,CEH9JdkJHlx,3017,,69
03/11/21,CEFDm0DhIQP,2567,,53
03/11/21,CEFWEAcH1B8,2085,,55
03/11/21,CEHTkJSh6-3,3374,,76
03/11/21,CD91aXujgEg,2704,,103
03/11/21,CECO8ZpnhWg,2402,,40
03/11/21,CD9ilOLBZOx,2716,,37
03/11/21,CD2wyJYBNmJ,4472,,70
03/11/21,CDzpGVwHbXH,2525,,96
03/11/21,CD40fWEB5VO,2047,,138
03/11/21,CD1fi78n0pr,924,,19
03/11/21,CEAaNT5AycV,2151,,116
03/11/21,CD1r3Y0BoCc,6491,,199
